39.1	76186
39.2	76452
39.3	76649
39.4	77348
39.5	77993
39.6	77762
39.7	78791
39.8	79132
39.9	79486
40	79483
40.1	80157
40.2	80498
40.3	80455
40.4	80277
40.5	80633
40.6	81224
40.7	81940
40.8	82354
40.9	82140
41	82311
41.1	82815
41.2	83716
41.3	83771
41.4	83735
41.5	84041
41.6	84288
41.7	84267
41.8	84672
41.9	85131
42	85924
42.1	86426
42.2	86033
42.3	85266
42.4	84815
42.5	84871
42.6	85122
42.7	85163
42.8	85317
42.9	86303
43	87118
43.1	87547
43.2	87894
43.3	87967
43.4	88801
43.5	88958
43.6	89215
43.7	89015
43.8	88696
43.9	88629
44	89661
44.1	90053
44.2	89944
44.3	90332
44.4	90733
44.5	91775
44.6	91550
44.7	91886
44.8	91770
44.9	91905
45	92600
45.1	93104
45.2	93569
45.3	93181
45.4	93848
45.5	94407
45.6	94667
45.7	94551
45.8	95018
45.9	95108
46	95246
46.1	95647
46.2	95709
46.3	95880
46.4	96755
46.5	97006
46.6	97407
46.7	97881
46.8	97859
46.9	98318
47	98097
47.1	97881
47.2	98101
47.3	98674
47.4	98702
47.5	99135
47.6	99439
47.7	100383
47.8	100490
47.9	100404
48	99467
48.1	98783
48.2	99446
48.3	99088
48.4	99516
48.5	99467
48.6	100355
48.7	100500
48.8	100910
48.9	101086
49	101512
49.1	100828
49.2	100198
49.3	99720
49.4	99422
49.5	99328
49.6	100198
49.7	100698
49.8	101163
49.9	102366
50	102775
50.1	103380
50.2	104031
50.3	104357
50.4	104308
50.5	104280
50.6	104610
50.7	105097
50.8	105498
50.9	105768
51	105997
51.1	105965
51.2	105483
51.3	105597
51.4	105800
51.5	107097
51.6	107187
51.7	107044
51.8	106521
51.9	106939
52	106546
52.1	107653
52.2	108589
52.3	109170
52.4	108336
52.5	108300
52.6	108521
52.7	109108
52.8	109612
52.9	109904
53	109771
53.1	109769
53.2	110423
53.3	110761
53.4	111338
53.5	111469
53.6	111224
53.7	111711
53.8	111910
53.9	112118
54	111951
54.1	111265
54.2	111563
54.3	112303
54.4	112504
54.5	112635
54.6	112888
54.7	113145
54.8	113971
54.9	114020
55	113947
55.1	114290
55.2	114091
55.3	113596
55.4	113673
55.5	113538
55.6	113713
55.7	114097
55.8	114822
55.9	115611
56	115727
56.1	115512
56.2	115272
56.3	114740
56.4	114204
56.5	114713
56.6	115246
56.7	116052
56.8	116070
56.9	115493
57	115399
57.1	115857
57.2	115718
57.3	115146
57.4	115124
57.5	115714
57.6	116074
57.7	116741
57.8	117373
57.9	118085
58	117913
58.1	117455
58.2	117052
58.3	117011
58.4	116814
